"AIDS Report Number","Local Event Date","Event City","Event State","Event Airport","Event Type","Aircraft Damage","Flight Phase","Aircraft Make","Aircraft Model","Aircraft Series","Operator","Primary Flight Type","Flight Conduct Code","Flight Plan Filed Code","Aircraft Registration Nbr","Total Fatalities","Total Injuries","Aircraft Engine Make","Aircraft Engine Model","Engine Group Code","Nbr of Engines","PIC Certificate Type","PIC Flight Time Total Hrs","PIC Flight Time Total Make-Model"," "," "
"20230801020479A","01-AUG-23","SANDERSVILLE","GA","KAOLIN FIELD","","","","","","","","","","","","1","0","","","","","","21000","","",""
"20230801022039I","01-AUG-23","RIDGELY","MD","RIDGELY AIRPARK","","","","","","","","","","","","0","0","","","","","","735","","",""
"20230801022329I","01-AUG-23","KEYSTONE HEIGHTS","FL","KEYSTONE AIRPARK","","","","","","","","","","","","0","1","","","","","","3600","25","25",""
"20230802008139A","02-AUG-23","HALSTAD","MN","","","","","","","","","","AGRICULTURAL","","","0","0","","","","","","9500","1700","125",""
"20230802008969A","02-AUG-23","CLEWISTON","FL","AIRGLADES","","","","","","","","","PILOT SCHOOLS","","","0","0","","","","","","1245","497","186",""
"20230802011369I","02-AUG-23","NEWARK","NJ","NEWARK LIBERTY INTL","","","","","","","","","FOREIGN AIR CARRIER","","","0","0","","","","","","","","",""
"20230802011439A","02-AUG-23","STERLING","VA","WASHINGTON DULLES INTL","","","","","","","UNITED AIR LINES INC","","AIR CARRIER/COMMERCIAL","","","0","0","","","","","","","","",""
"20230802011739I","02-AUG-23","BURLINGTON","NC","BURLINGTON-ALAMANCE RGNL","","","","","","","","","","","","0","0","","","","","","","50","",""
"20230802011849A","02-AUG-23","ROSENBERG","TX","LANE AIRPARK","","","","","","","","","","","","0","0","","","","","","309","4","67",""
"20230802012419A","02-AUG-23","VAN NUYS","CA","VAN NUYS","","","","","","","","","PILOT SCHOOLS","","","2","0","","","","","","","","",""
"20230802015449I","02-AUG-23","BREMERTON","WA","BREMERTON NATIONAL","","","","","","","","","","","","0","0","","","","","","","","",""
"20230802016879I","02-AUG-23","FORT MYERS","FL","SOUTHWEST FLORIDA INTL","","","","","","","","","","","","0","0","","","","","","","","",""
"20230802019169A","02-AUG-23","PORTLAND","OR","","","","","","","","","","","","","0","0","","","","","","9","8","1",""
"20230802021249I","02-AUG-23","FORT MYERS","FL","PAGE FIELD","","","","","","","","","","","","0","0","","","","","","","","",""
"20230803010109I","03-AUG-23","NEW IBERIA","LA","ACADIANA RGNL","","","","","","","","","","","","0","0","","","","","","41","41","41",""
"20230803010499I","03-AUG-23","COTTAGE GROVE","WI","","","","","","","","","","AGRICULTURAL","","","0","0","","","","","","1598","530","56",""
"20230803011709A","03-AUG-23","JAMESTOWN","ND","","","","","","","","","","","","","0","0","","","","","","754","1","120",""
"20230803011809A","03-AUG-23","PHILADELPHIA","PA","NORTHEAST PHILADELPHIA","","","","","","","","","","","","0","1","","","","","","7674","1944","69",""
"20230803011839I","03-AUG-23","NASHUA","NH","BOIRE FIELD","","","","","","","","","","","","0","0","","","","","","1383","607","6",""
"20230803012429I","03-AUG-23","OCALA","FL","OCALA INTL-JIM TAYLOR FIELD","","","","","","","","","","","","0","0","","","","","","4900","3500","10",""
"20230803014459A","03-AUG-23","MC DERMITT","OR","","","","","","","","","","","","","0","1","","","","","","855","","",""
"20230803014579A","03-AUG-23","WETUMPKA","AL","","","","","","","","","","","","","0","0","","","","","","172","105","26",""
"20230803015919I","03-AUG-23","BEND","OR","BEND MUNI","","","","","","","","","","","","0","0","","","","","","","","",""
"20230803019179A","03-AUG-23","WESTLAKE VILLAGE","CA","","","","","","","","","","","","","0","0","","","","","","","","",""
"20230804010189I","04-AUG-23","EVERETT","WA","SNOHOMISH COUNTY (PAINE FLD)","","","","","","","","","","","","0","0","","","","","","192","23","8",""
"20230804010279I","04-AUG-23","BRIGHTON","CO","","","","","","","","","","","","","0","0","","","","","","2430","18","20",""
"20230804010459I","04-AUG-23","KASIGLUK","AK","KASIGLUK","","","","","","","","","","","","0","0","","","","","","1060","350","200",""
"20230804010699I","04-AUG-23","","WA","ORCAS ISLAND","","","","","","","","","","","","0","0","","","","","","7082","","",""
"20230804011169I","04-AUG-23","HONDO","TX","BOERNE STAGE FIELD","","","","","","","","","","","","0","0","","","","","","1119","","",""
"20230804011179I","04-AUG-23","NORTH LAS VEGAS","NV","NORTH LAS VEGAS","","","","","","","","","","","","0","0","","","","","","690","561","6",""
"20230804015379A","04-AUG-23","PORT ORANGE","FL","SPRUCE CREEK","","","","","","","","","","","","0","1","","","","","","1334","","",""
"20230804016869A","04-AUG-23","O BRIEN","FL","O'BRIEN AIRPARK EAST/WEST","","","","","","","","","","","","1","0","","","","","","","","",""
"20230804017549A","04-AUG-23","IGIUGIG","AK","","","","","","","","","","","","","0","0","","","","","","10095","225","128",""
"20230804019569A","04-AUG-23","","VI","","","","","","","","","","","","","2","0","","","","","","","","",""
"20230804020409A","04-AUG-23","IDAHO CITY","ID","IDAHO CITY USFS","","","","","","","","","","","","1","0","","","","","","905","","",""
"20230804021859A","04-AUG-23","PEMBROKE PINES","FL","NORTH PERRY","","","","","","","","","","","","2","0","","","","","","","","",""
"20230805009579I","05-AUG-23","SHREVEPORT","LA","SHREVEPORT DOWNTOWN","","","","","","","","","","","","0","0","","","","","","","","",""
"20230805010539A","05-AUG-23","YELLOW PINE","ID","INDIAN CREEK USFS","","","","","","","MOUNTAIN BIRD INC","","","","","0","1","","","","","","1337","17","125",""
"20230805011339A","05-AUG-23","ELBERON","VA","","","","","","","","","","ROTORCRAFT EXTERNAL LOAD OPERATIONS","","","0","2","","","","","","7375","3924","146",""
"20230805014309A","05-AUG-23","PEYTON","CO","","","","","","","","","","","","","1","0","","","","","","","","",""
"20230805022559A","05-AUG-23","SPRINGERVILLE","AZ","","","","","","","","","","ROTORCRAFT EXTERNAL LOAD OPERATIONS","","","0","0","","","","","","11800","","",""
"20230806008899A","06-AUG-23","CARTHAGE","IL","","","","","","","","AIR EVAC EMS INC","","","","","0","0","","","","","","4142","3324","66",""
"20230806010809A","06-AUG-23","HOLLIDAY","TX","","","","","","","","","","","","","0","0","","","","","","380","","",""
"20230806010812A","06-AUG-23","CABAZON","CA","","","","","","","","","","","","","3","0","","","","","","2085","470","105",""
"20230806010821A","06-AUG-23","CABAZON","CA","","","","","","","","","","","","","0","0","","","","","","","","",""
"20230806010939A","06-AUG-23","WACO","TX","WACO RGNL","","","","","","","","","","","","0","0","","","","","","200","190","49",""
"20230806013489A","06-AUG-23","DAVIS","CA","","","","","","","","","","AGRICULTURAL","","","1","0","","","","","","15538","","",""
"20230806018559I","06-AUG-23","TRUCKEE","CA","TRUCKEE-TAHOE","","","","","","","","","","","","0","0","","","","","","","","",""
"20230806021909A","06-AUG-23","LAS VEGAS","NM","LAS VEGAS MUNI","","","","","","","","","","","","0","1","","","","","","400","10","15",""
"20230807015909I","07-AUG-23","BANDON","OR","BANDON STATE","","","","","","","","","","","","0","0","","","","","","","","",""
"20230807019459A","07-AUG-23","AURORA","OR","AURORA STATE","","","","","","","","","","","","0","0","","","","","","1113","137","6",""
"20230807021359A","07-AUG-23","CADDO MILLS","TX","CADDO MILLS MUNI","","","","","","","","","","","","1","0","","","","","","","","",""
"20230807021849I","07-AUG-23","MIAMI","FL","KENDALL-TAMIAMI EXECUTIVE","","","","","","","","","","","","0","0","","","","","","","","14",""
"20230808009919A","08-AUG-23","HARTINGTON","NE","","","","","","","","","","AGRICULTURAL","","","0","0","","","","","","1382","238","356",""
"20230808010009I","08-AUG-23","TORRANCE","CA","ZAMPERINI FIELD","","","","","","","","","","","","0","0","","","","","","351","310","115",""
"20230808010909I","08-AUG-23","GARDNER","KS","NEW CENTURY AIRCENTER","","","","","","","","","","","","0","0","","","","","","1525","522","38",""
"20230808012329I","08-AUG-23","APPLEGATE","MI","SANDUSKY CITY","","","","","","","","","AGRICULTURAL","","","0","0","","","","","","3000","150","300",""
"20230808012709I","08-AUG-23","ENGLEWOOD","CO","CENTENNIAL","","","","","","","","","","","","0","0","","","","","","3185","","",""
"20230808012719I","08-AUG-23","MARBLE","CO","","","","","","","","","","","","","0","0","","","","","","18000","","",""
"20230808012749A","08-AUG-23","RICHFIELD","UT","","","","","","","","","","","","","0","0","","","","","","10400","5500","100",""
"20230808012759A","08-AUG-23","RIGBY","ID","RIGBY-JEFFERSON COUNTY","","","","","","","","","","","","0","0","","","","","","300","268","6",""
"20230808014539I","08-AUG-23","COLUMBIANA","AL","","","","","","","","","","","","","0","0","","","","","","8090","35","25",""
"20230808015039I","08-AUG-23","DAYTONA BEACH","FL","DAYTONA BEACH INTL","","","","","","","","","","","","0","0","","","","","","340","340","60",""
"20230808015419I","08-AUG-23","FULLERTON","CA","FULLERTON MUNI","","","","","","","","","","","","0","1","","","","","","","","",""
"20230808020189A","08-AUG-23","GILMAN CITY","MO","TRENTON MUNI","","","","","","","","","AGRICULTURAL","","","1","0","","","","","","450","","",""
"20230808020879A","08-AUG-23","RED LODGE","MT","RED LODGE","","","","","","","","","","","","0","1","","","","","","","","",""
"20230808021789A","08-AUG-23","ROANOKE","TX","NORTHWEST RGNL","","","","","","","","","","","","0","0","","","","","","1100","440","20",""
"20230809008789A","09-AUG-23","SKWENTNA","AK","","","","","","","","MILLER, MARK","","","","","2","0","","","","","","","","",""
"20230809012229A","09-AUG-23","HOLLY HILL","SC","HOLLY HILL","","","","","","","","","","","","0","0","","","","","","245","","28",""
"20230809013519I","09-AUG-23","TUCSON","AZ","TUCSON INTL","","","","","","","","","AIR CARRIER/COMMERCIAL","","","0","0","","","","","","12000","3500","75",""
"20230809013669I","09-AUG-23","EUGENE","OR","MAHLON SWEET FIELD","","","","","","","","","","","","0","0","","","","","","","","",""
"20230809013769A","09-AUG-23","SEVIERVILLE","TN","GATLINBURG-PIGEON FORGE","","","","","","","","","","","","0","0","","","","","","255","198","77",""
"20230809014929A","09-AUG-23","PRINCETON","NJ","PRINCETON","","","","","","","","","","","","0","0","","","","","","41","41","12",""
"20230809017419A","09-AUG-23","STRATFORD","CA","","","","","","","","","","AGRICULTURAL","","","0","0","","","","","","8300","","",""
"20230809018899A","09-AUG-23","MANATI","PR","","","","","","","","","","PILOT SCHOOLS","","","0","1","","","","","","868","31","120",""
"20230810010639A","10-AUG-23","MILES CITY","MT","","","","","","","","","","","","","0","0","","","","","","","","",""
"20230810012219A","10-AUG-23","","AK","","","","","","","","","","","","","0","0","","","","","","8000","390","13",""
"20230810012569I","10-AUG-23","ELIZABETH CITY","NC","ELIZABETH CITY CG AIR STATION/RGNL","","","","","","","","","","","","0","2","","","","","","1164","658","189",""
"20230810012949I","10-AUG-23","NEEDLES","CA","NEEDLES","","","","","","","","","","","","0","0","","","","","","400","400","6",""
"20230810013309A","10-AUG-23","HARVARD","IL","","","","","","","","","","","","","0","0","","","","","","500","263","5",""
"20230810014069A","10-AUG-23","MARYSVILLE","CA","YUBA COUNTY","","","","","","","","","","","","0","0","","","","","","849","108","122",""
"20230810014569A","10-AUG-23","WETUMPKA","AL","EMERALD MOUNTAIN","","","","","","","","","","","","0","0","","","","","","162","","",""
"20230810016299A","10-AUG-23","JEAN","NV","","","","","","","","","","","","","0","0","","","","","","1485","200","140",""
"20230810018299I","10-AUG-23","FORT PIERCE","FL","ST LUCIE COUNTY INTL","","","","","","","","","","","","0","0","","","","","","4000","1500","15",""
"20230810019149I","10-AUG-23","FAYETTEVILLE","NC","FAYETTEVILLE RGNL/GRANNIS FIELD","","","","","","","","","","","","0","0","","","","","","1500","","",""
"20230810021469A","10-AUG-23","DIXON","CA","","","","","","","","","","","","","0","0","","","","","","4000","225","90",""
"20230810021839A","10-AUG-23","BUTLER","GA","","","","","","","","","","","","","1","0","","","","","","1870","","55",""
"20230811011729I","11-AUG-23","LUBBOCK","TX","LUBBOCK PRESTON SMITH INTL","","","","","","","","","","","","0","0","","","","","","474","323","23",""
"20230811012449A","11-AUG-23","PORT NORRIS","NJ","","","","","","","","","","","","","0","0","","","","","","727","691","124",""
"20230811012739A","11-AUG-23","DERBY","KS","COOK AIRFIELD","","","","","","","","","","","","0","0","","","","","","20795","300","11",""
"20230811013389A","11-AUG-23","CHILLICOTHE","MO","CHILLICOTHE MUNI","","","","","","","","","AGRICULTURAL","","","0","0","","","","","","696","","",""
"20230811015819I","11-AUG-23","INVERNESS","FL","","","","","","","","","","","","","0","0","","","","","","478","","",""
"20230811016859I","11-AUG-23","CRYSTAL RIVER","FL","CRYSTAL RIVER","","","","","","","","","","","","0","0","","","","","","","","",""
"20230811019629I","11-AUG-23","SPRING","TX","DAVID WAYNE HOOKS MEMORIAL","","","","","","","","","","","","0","0","","","","","","525","","",""
"20230811021739I","11-AUG-23","DAYTONA BEACH","FL","DAYTONA BEACH INTL","","","","","","","EMBRY-RIDDLE AERONAUTICAL UNIVERSITY","","PILOT SCHOOLS","","","0","0","","","","","","","","",""
"20230812011319A","12-AUG-23","MIFFLINVILLE","PA","","","","","","","","","","AGRICULTURAL","","","1","0","","","","","","1325","490","50",""
"20230812012699I","12-AUG-23","RAVENNA","OH","PORTAGE COUNTY","","","","","","","","","","","","0","0","","","","","","456","29","63",""
"20230812014399A","12-AUG-23","VIRDEN","IL","","","","","","","","","","","","","1","0","","","","","","","","",""
"20230812017009A","12-AUG-23","HAINES CITY","FL","","","","","","","","","","","","","0","1","","","","","","236","","",""
"20230813008929I","13-AUG-23","INDIAN CREEK","ID","INDIAN CREEK USFS","","","","","","","","","","","","0","0","","","","","","5100","47","200",""
"20230813011329I","13-AUG-23","SHIRLEY","MA","","","","","","","","JETBLUE AIRWAYS","","AIR CARRIER/COMMERCIAL","","","0","0","","","","","","","","",""
"20230813011659I","13-AUG-23","FREDERICK","MD","","","","","","","","","","","","","0","0","","","","","","325","150","20",""
"20230813012199I","13-AUG-23","MILLVILLE","NJ","MILLVILLE MUNI","","","","","","","","","","","","0","0","","","","","","379","12","2",""
"20230813012209A","13-AUG-23","MYRTLE BEACH","SC","","","","","","","","","","","","","0","0","","","","","","101","8","1",""
"20230813012799A","13-AUG-23","EDENTON","NC","","","","","","","","","","","","","0","0","","","","","","535","378","13",""
"20230813013739A","13-AUG-23","KEY WEST","FL","","","","","","","","","","","","","0","0","","","","","","832","338","32",""
"20230813013789A","13-AUG-23","OKLAHOMA CITY","OK","","","","","","","","","","","","","0","0","","","","","","","1875","",""
"20230813014049A","13-AUG-23","BELLEVILLE","MI","","","","","","","","","","","","","0","2","","","","","","21297","","",""
"20230813014629A","13-AUG-23","HICKORY","NC","","","","","","","","","","","","","2","0","","","","","","3100","","",""
"20230814008799A","14-AUG-23","SKWENTNA","AK","","","","","","","","RUSTS FLYING SERVICE INC","","","","","0","0","","","","","","17653","500","253",""
"20230814010439I","14-AUG-23","BETTLES","AK","","","","","","","","","","","","","0","0","","","","","","18000","3800","250",""
"20230814012619I","14-AUG-23","JACKSONVILLE","FL","HERLONG RECREATIONAL","","","","","","","","","","","","0","0","","","","","","150","25","19",""
"20230814014529I","14-AUG-23","EUFAULA","AL","WEEDON FIELD","","","","","","","","","","","","0","0","","","","","","11700","","",""
"20230814021969A","14-AUG-23","CHICAGO","IL","CHICAGO O'HARE INTL","","","","","","","ENVOY AIR INC","","AIR CARRIER/COMMERCIAL","","","0","0","","","","","","9188","932","181",""
"20230815009849I","15-AUG-23","FAIRBANKS","AK","FAIRBANKS INTL","","","","","","","WARBELOWS AIR VENTURES INC","","","","","0","0","","","","","","9650","","",""
"20230815009889I","15-AUG-23","WICHITA","KS","WICHITA MID-CONTINENT","","","","","","","","","","","","0","0","","","","","","16500","","",""
"20230815009959A","15-AUG-23","LANSING","MI","CAPITAL REGION INTL","","","","","","","AMERIFLIGHT","","","","","0","0","","","","","","1217","25","66",""
"20230815012189A","15-AUG-23","TYONEK","AK","","","","","","","","","","","","","0","0","","","","","","596","","",""
"20230815013422I","15-AUG-23","MORRISTOWN","TN","MOORE-MURRELL","","","","","","","NETJETS AVIATION","","","","","0","0","","","","","","","","",""
"20230815015029A","15-AUG-23","MOAB","UT","CANYONLANDS FIELD","","","","","","","","","","","","0","0","","","","","","1436","93","60",""
